湖南长沙电信[A],#genre#
湘潭新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.4:9000
岳阳新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.7:9000
岳阳文旅都市高清,http://www.hunterpoon.tech:4000/udp/239.76.255.8:9000
永州新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.23:9000
永州经济生活高清,http://www.hunterpoon.tech:4000/udp/239.76.255.24:9000
常德新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.10:9000
怀化新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.12:9000
郴州综合高清,http://www.hunterpoon.tech:4000/udp/239.76.253.75:9000
郴州文旅高清,http://www.hunterpoon.tech:4000/udp/239.76.255.39:9000
衡阳新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.13:9000
衡阳文旅法治高清,http://www.hunterpoon.tech:4000/udp/239.76.255.14:9000
益阳新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.15:9000
益阳公共,http://www.hunterpoon.tech:4000/udp/239.76.255.16:9000
娄底综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.18:9000
娄底公共高清,http://www.hunterpoon.tech:4000/udp/239.76.255.19:9000
邵阳新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.21:9000
邵阳文旅民生高清,http://www.hunterpoon.tech:4000/udp/239.76.255.22:9000
天元围棋高清,http://www.hunterpoon.tech:4000/udp/239.76.253.2:9000
四海钓鱼高清,http://www.hunterpoon.tech:4000/udp/239.76.253.4:9000
快乐垂钓高清,http://www.hunterpoon.tech:4000/udp/239.76.252.127:9000
生态环境,http://www.hunterpoon.tech:4000/udp/239.76.254.201:9000
国学,http://www.hunterpoon.tech:4000/udp/239.76.254.48:9000
优优宝贝,http://www.hunterpoon.tech:4000/udp/239.76.253.13:9000
环球旅游,http://www.hunterpoon.tech:4000/udp/239.76.254.46:9000
财富天下,http://www.hunterpoon.tech:4000/udp/239.76.253.18:9000
收藏天下,http://www.hunterpoon.tech:4000/udp/239.76.253.244:9000
家庭影院高清,http://www.hunterpoon.tech:4000/udp/239.76.252.241:9000
影迷电影高清,http://www.hunterpoon.tech:4000/udp/239.76.252.242:9000
动作电影高清,http://www.hunterpoon.tech:4000/udp/239.76.252.243:9000
新动漫,http://www.hunterpoon.tech:4000/udp/239.76.252.244:9000
欢笑剧场 4K,http://www.hunterpoon.tech:4000/udp/239.76.254.66:9000
都市剧场高清,http://www.hunterpoon.tech:4000/udp/239.76.254.74:9000
动漫秀场高清,http://www.hunterpoon.tech:4000/udp/239.76.254.70:9000
法治天地高清,http://www.hunterpoon.tech:4000/udp/239.76.254.67:9000
金色学堂高清,http://www.hunterpoon.tech:4000/udp/239.76.254.75:9000
游戏风云高清,http://www.hunterpoon.tech:4000/udp/239.76.254.71:9000
乐游高清,http://www.hunterpoon.tech:4000/udp/239.76.254.68:9000
生活时尚高清,http://www.hunterpoon.tech:4000/udp/239.76.254.73:9000
东方财经高清,http://www.hunterpoon.tech:4000/udp/239.76.254.69:9000
卫生健康,http://www.hunterpoon.tech:4000/udp/239.76.253.247:9000
第一剧场,http://www.hunterpoon.tech:4000/udp/239.76.254.49:9000
风云剧场,http://www.hunterpoon.tech:4000/udp/239.76.254.50:9000
风云音乐,http://www.hunterpoon.tech:4000/udp/239.76.254.51:9000
风云足球,http://www.hunterpoon.tech:4000/udp/239.76.254.52:9000
怀旧剧场,http://www.hunterpoon.tech:4000/udp/239.76.254.53:9000
女性时尚,http://www.hunterpoon.tech:4000/udp/239.76.254.55:9000
央视文化精品,http://www.hunterpoon.tech:4000/udp/239.76.254.56:9000
世界地理,http://www.hunterpoon.tech:4000/udp/239.76.254.57:9000
央视台球,http://www.hunterpoon.tech:4000/udp/239.76.254.58:9000
兵器科技,http://www.hunterpoon.tech:4000/udp/239.76.254.59:9000
电视指南,http://www.hunterpoon.tech:4000/udp/239.76.254.61:9000
高尔夫网球,http://www.hunterpoon.tech:4000/udp/239.76.254.62:9000
先锋乒羽,http://www.hunterpoon.tech:4000/udp/239.76.253.51:9000
早期教育,http://www.hunterpoon.tech:4000/udp/239.76.254.202:9000
中学生,http://www.hunterpoon.tech:4000/udp/239.76.254.27:9000
环球奇观,http://www.hunterpoon.tech:4000/udp/239.76.254.26:9000
茶频道,http://www.hunterpoon.tech:4000/udp/239.76.252.239:9000
中国天气高清,http://www.hunterpoon.tech:4000/udp/239.76.253.61:9000
老故事,http://www.hunterpoon.tech:4000/udp/239.76.253.76:9000
书画,http://www.hunterpoon.tech:4000/udp/239.76.253.77:9000
梨园高清,http://www.hunterpoon.tech:4000/udp/239.76.252.179:9000
文物宝库高清,http://www.hunterpoon.tech:4000/udp/239.76.252.180:9000
武术世界高清,http://www.hunterpoon.tech:4000/udp/239.76.252.181:9000
湖南卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.101:9000
湖南经视,http://www.hunterpoon.tech:4000/udp/239.76.253.103:9000
湖南都市,http://www.hunterpoon.tech:4000/udp/239.76.253.104:9000
湖南电视剧,http://www.hunterpoon.tech:4000/udp/239.76.253.108:9000
湖南电影,http://www.hunterpoon.tech:4000/udp/239.76.253.106:9000
湖南爱晚,http://www.hunterpoon.tech:4000/udp/239.76.253.109:9000
湖南娱乐,http://www.hunterpoon.tech:4000/udp/239.76.253.105:9000
金鹰纪实,http://www.hunterpoon.tech:4000/udp/239.76.253.110:9000
金鹰卡通,http://www.hunterpoon.tech:4000/udp/239.76.253.107:9000
湖南国际,http://www.hunterpoon.tech:4000/udp/239.76.253.102:9000
快乐购,http://www.hunterpoon.tech:4000/udp/239.76.253.112:9000
湖南教育,http://www.hunterpoon.tech:4000/udp/239.76.252.233:9000
长沙新闻综合,http://www.hunterpoon.tech:4000/udp/239.76.253.121:9000
长沙政法,http://www.hunterpoon.tech:4000/udp/239.76.253.122:9000
浏阳新闻高清,http://www.hunterpoon.tech:4000/udp/239.76.255.6:9000
CCTV1,http://www.hunterpoon.tech:4000/udp/239.76.253.151:9000
CCTV2,http://www.hunterpoon.tech:4000/udp/239.76.253.152:9000
CCTV3,http://www.hunterpoon.tech:4000/udp/239.76.253.153:9000
CCTV4,http://www.hunterpoon.tech:4000/udp/239.76.253.154:9000
CCTV5,http://www.hunterpoon.tech:4000/udp/239.76.253.155:9000
CCTV6,http://www.hunterpoon.tech:4000/udp/239.76.253.156:9000
CCTV7,http://www.hunterpoon.tech:4000/udp/239.76.253.157:9000
CCTV8,http://www.hunterpoon.tech:4000/udp/239.76.253.158:9000
CCTV9,http://www.hunterpoon.tech:4000/udp/239.76.253.159:9000
CCTV10,http://www.hunterpoon.tech:4000/udp/239.76.253.160:9000
CCTV11,http://www.hunterpoon.tech:4000/udp/239.76.252.251:9000
CCTV12,http://www.hunterpoon.tech:4000/udp/239.76.253.162:9000
CCTV13,http://www.hunterpoon.tech:4000/udp/239.76.253.93:9000
CCTV14,http://www.hunterpoon.tech:4000/udp/239.76.253.164:9000
CCTV15,http://www.hunterpoon.tech:4000/udp/239.76.252.252:9000
CCTV16,http://www.hunterpoon.tech:4000/udp/239.76.253.98:9000
CCTV17,http://www.hunterpoon.tech:4000/udp/239.76.252.238:9000
CCTV5+,http://www.hunterpoon.tech:4000/udp/239.76.253.168:9000
CCTV4欧洲,http://www.hunterpoon.tech:4000/udp/239.76.253.95:9000
CCTV4美洲,http://www.hunterpoon.tech:4000/udp/239.76.253.96:9000
CGTN,http://www.hunterpoon.tech:4000/udp/239.76.252.66:9000
CGTN纪录,http://www.hunterpoon.tech:4000/udp/239.76.252.67:9000
CGTN西班牙语,http://www.hunterpoon.tech:4000/udp/239.76.253.88:9000
CGTN阿拉伯语,http://www.hunterpoon.tech:4000/udp/239.76.253.97:9000
CGTN法语,http://www.hunterpoon.tech:4000/udp/239.76.253.87:9000
CGTN俄语,http://www.hunterpoon.tech:4000/udp/239.76.253.86:9000
江苏卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.181:9000
浙江卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.182:9000
安徽卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.196:9000
北京卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.184:9000
天津卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.185:9000
东方卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.186:9000
江西卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.225:9000
深圳卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.188:9000
辽宁卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.197:9000
东南卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.190:9000
海南卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.203:9000
广东卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.189:9000
湖北卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.193:9000
广西卫视,http://www.hunterpoon.tech:4000/udp/239.76.254.54:9000
山东卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.195:9000
四川卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.91:9000
重庆卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.92:9000
云南卫视,http://www.hunterpoon.tech:4000/udp/239.76.254.60:9000
河南卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.202:9000
黑龙江卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.200:9000
贵州卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.198:9000
河北卫视,http://www.hunterpoon.tech:4000/udp/239.76.252.199:9000
吉林卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.201:9000
陕西卫视,http://www.hunterpoon.tech:4000/udp/239.76.254.76:9000
甘肃卫视,http://www.hunterpoon.tech:4000/udp/239.76.253.94:9000
卡酷少儿,http://www.hunterpoon.tech:4000/udp/239.76.254.81:9000
青海卫视,http://www.hunterpoon.tech:4000/udp/239.76.254.132:9000
CCTV16 4K 超高清,http://www.hunterpoon.tech:4000/udp/239.76.253.230:9000
CCTV16 4K,http://www.hunterpoon.tech:4000/udp/239.76.254.200:9000
CCTV 4K,http://www.hunterpoon.tech:4000/udp/239.76.254.64:9000
CCTV 4K 超高清,http://www.hunterpoon.tech:4000/udp/239.76.254.101:9000
欢笑剧场 4K 超高清,http://www.hunterpoon.tech:4000/udp/239.76.253.43:9000
北京卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.253.246:9000
江苏卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.218:9000
浙江卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.222:9000
东方卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.226:9000
深圳卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.137:9000
广东卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.139:9000
山东卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.230:9000
四川卫视4K,http://www.hunterpoon.tech:4000/udp/239.76.254.234:9000
桂东融媒高清,http://www.hunterpoon.tech:4000/udp/239.76.253.231:9000
溆浦综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.25:9000
衡阳县电视台高清,http://www.hunterpoon.tech:4000/udp/239.76.255.26:9000
茶陵综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.27:9000
道县综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.28:9000
长沙县新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.33:9000
武冈综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.29:9000
津市综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.30:9000
新化综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.31:9000
临澧新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.32:9000
洞口融媒综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.34:9000
安乡新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.35:9000
桃源综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.36:9000
湘乡新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.37:9000
蓝山综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.38:9000
冷水江新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.40:9000
湘潭县综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.41:9000
中方台高清,http://www.hunterpoon.tech:4000/udp/239.76.255.43:9000
新田综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.44:9000
麻阳综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.45:9000
双峰新闻综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.46:9000
汨罗综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.47:9000
涟源综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.48:9000
资兴综合高清,http://www.hunterpoon.tech:4000/udp/239.76.255.49:9000
保靖时政高清,http://www.hunterpoon.tech:4000/udp/239.76.255.50:9000
芷江综合高清,http://www.hunterpoon.tech:4000/udp/239.76.253.67:9000
临武综合高清,http://www.hunterpoon.tech:4000/udp/239.76.253.69:9000



湖南长沙电信[B],#genre#
CCTV1高清,http://61.187.148.168:4022/udp/239.76.253.151:9000
湖南卫视4K,http://61.187.148.168:4022/udp/239.76.253.62:9000    
湖南卫视4K,http://61.187.148.168:4022/udp/239.76.253.224:9000
江苏卫视4K,http://61.187.148.168:4022/udp/239.76.254.216:9000
浙江卫视4K,http://61.187.148.168:4022/udp/239.76.254.220:9000
东方卫视4K,http://61.187.148.168:4022/udp/239.76.254.224:9000
山东卫视4K,http://61.187.148.168:4022/udp/239.76.254.228:9000
四川卫视4K,http://61.187.148.168:4022/udp/239.76.254.232:9000
凤凰中文,http://61.187.148.168:4022/udp/239.76.253.134:9000
凤凰资讯,http://61.187.148.168:4022/udp/239.76.253.135:9000
湖南卫视4K,http://61.187.148.168:4022/udp/239.76.253.100:9000
湖南卫视高清,http://61.187.148.168:4022/udp/239.76.252.115:9000
湖南经视高清,http://61.187.148.168:4022/udp/239.76.252.116:9000
湖南都市高清,http://61.187.148.168:4022/udp/239.76.252.117:9000
湖南电视剧高清,http://61.187.148.168:4022/udp/239.76.252.118:9000
湖南电影高清,http://61.187.148.168:4022/udp/239.76.252.119:9000
湖南爱晚高清,http://61.187.148.168:4022/udp/239.76.252.123:9000
湖南娱乐高清,http://61.187.148.168:4022/udp/239.76.252.121:9000
金鹰纪实高清,http://61.187.148.168:4022/udp/239.76.252.122:9000
金鹰卡通高清,http://61.187.148.168:4022/udp/239.76.252.120:9000
湖南国际高清,http://61.187.148.168:4022/udp/239.76.252.124:9000
快乐购高清,http://61.187.148.168:4022/udp/239.76.252.125:9000
湖南教育高清,http://61.187.148.168:4022/udp/239.76.252.233:9000
嘉丽购高清,http://61.187.148.168:4022/udp/239.76.253.245:9000
长沙新闻综合高清,http://61.187.148.168:4022/udp/239.76.253.121:9000
长沙政法高清,http://61.187.148.168:4022/udp/239.76.253.122:9000
长沙文旅高清,http://61.187.148.168:4022/udp/239.76.255.42:9000
优购物高清,http://61.187.148.168:4022/udp/239.76.254.63:9000
茶频道高清,http://61.187.148.168:4022/udp/239.76.252.239:9000
CCTV1高清,http://61.187.148.168:4022/udp/239.76.253.151:9000
CCTV2高清,http://61.187.148.168:4022/udp/239.76.253.152:9000
CCTV3高清,http://61.187.148.168:4022/udp/239.76.253.153:9000
CCTV4高清,http://61.187.148.168:4022/udp/239.76.253.154:9000
CCTV5高清,http://61.187.148.168:4022/udp/239.76.254.214:9000
CCTV6高清,http://61.187.148.168:4022/udp/239.76.253.156:9000
CCTV7高清,http://61.187.148.168:4022/udp/239.76.253.157:9000
CCTV8高清,http://61.187.148.168:4022/udp/239.76.253.158:9000
CCTV9高清,http://61.187.148.168:4022/udp/239.76.253.159:9000
CCTV10高清,http://61.187.148.168:4022/udp/239.76.253.160:9000
CCTV11高清,http://61.187.148.168:4022/udp/239.76.252.251:9000
CCTV12高清,http://61.187.148.168:4022/udp/239.76.253.162:9000
CCTV13高清,http://61.187.148.168:4022/udp/239.76.253.93:9000
CCTV14高清,http://61.187.148.168:4022/udp/239.76.253.164:9000
CCTV15高清,http://61.187.148.168:4022/udp/239.76.252.252:9000
CCTV16高清,http://61.187.148.168:4022/udp/239.76.253.98:9000
CCTV17高清,http://61.187.148.168:4022/udp/239.76.252.238:9000
CCTV5+高清,http://61.187.148.168:4022/udp/239.76.254.215:9000
CCTV4欧洲高清,http://61.187.148.168:4022/udp/239.76.253.95:9000
CCTV4美洲高清,http://61.187.148.168:4022/udp/239.76.253.96:9000
CGTN高清,http://61.187.148.168:4022/udp/239.76.252.66:9000
CGTN纪录高清,http://61.187.148.168:4022/udp/239.76.252.67:9000
CGTN西班牙语高清,http://61.187.148.168:4022/udp/239.76.253.88:9000
CGTN阿拉伯语高清,http://61.187.148.168:4022/udp/239.76.253.97:9000
CGTN法语高清,http://61.187.148.168:4022/udp/239.76.253.87:9000
CGTN俄语高清,http://61.187.148.168:4022/udp/239.76.253.86:9000
江苏卫视高清,http://61.187.148.168:4022/udp/239.76.253.181:9000
浙江卫视高清,http://61.187.148.168:4022/udp/239.76.253.182:9000
安徽卫视高清,http://61.187.148.168:4022/udp/239.76.252.196:9000
北京卫视高清,http://61.187.148.168:4022/udp/239.76.253.184:9000
天津卫视高清,http://61.187.148.168:4022/udp/239.76.253.185:9000
东方卫视高清,http://61.187.148.168:4022/udp/239.76.253.186:9000
江西卫视高清,http://61.187.148.168:4022/udp/239.76.252.225:9000
深圳卫视高清,http://61.187.148.168:4022/udp/239.76.253.188:9000
辽宁卫视高清,http://61.187.148.168:4022/udp/239.76.252.197:9000
东南卫视高清,http://61.187.148.168:4022/udp/239.76.252.190:9000
海南卫视高清,http://61.187.148.168:4022/udp/239.76.253.203:9000
广东卫视高清,http://61.187.148.168:4022/udp/239.76.252.189:9000
湖北卫视高清,http://61.187.148.168:4022/udp/239.76.253.193:9000
广西卫视高清,http://61.187.148.168:4022/udp/239.76.254.54:9000
山东卫视高清,http://61.187.148.168:4022/udp/239.76.253.195:9000
四川卫视高清,http://61.187.148.168:4022/udp/239.76.253.91:9000
重庆卫视高清,http://61.187.148.168:4022/udp/239.76.253.92:9000
云南卫视高清,http://61.187.148.168:4022/udp/239.76.254.60:9000
河南卫视高清,http://61.187.148.168:4022/udp/239.76.253.202:9000
黑龙江卫视高清,http://61.187.148.168:4022/udp/239.76.253.200:9000
贵州卫视高清,http://61.187.148.168:4022/udp/239.76.252.198:9000
河北卫视高清,http://61.187.148.168:4022/udp/239.76.252.199:9000
吉林卫视高清,http://61.187.148.168:4022/udp/239.76.253.201:9000
陕西卫视高清,http://61.187.148.168:4022/udp/239.76.254.76:9000
山西卫视,http://61.187.148.168:4022/udp/239.76.252.105:9000
内蒙古卫视,http://61.187.148.168:4022/udp/239.76.252.106:9000
宁夏卫视高清,http://61.187.148.168:4022/udp/239.76.252.107:9000
西藏卫视高清,http://61.187.148.168:4022/udp/239.76.252.108:9000
新疆卫视高清,http://61.187.148.168:4022/udp/239.76.252.109:9000
甘肃卫视高清,http://61.187.148.168:4022/udp/239.76.253.94:9000
卡酷少儿高清,http://61.187.148.168:4022/udp/239.76.254.81:9000
优漫卡通,http://61.187.148.168:4022/udp/239.76.252.112:9000
青海卫视高清,http://61.187.148.168:4022/udp/239.76.254.132:9000
嘉佳卡通,http://61.187.148.168:4022/udp/239.76.252.230:9000
厦门卫视,http://61.187.148.168:4022/udp/239.76.252.231:9000
